2019-01-13 21:37:03  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 0.0 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 21:37:03  | My Order List is  [] 
2019-01-13 21:37:03  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-01-13 21:37:03  | Spawn Trader  dongwkim-trader1 
2019-01-13 21:37:03  | Current Trader is dongwkim-trader1
2019-01-13 21:37:03  | Get Last Order from Redis
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/  -0(-0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  371/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:27:30  | TEST  | Price: p:372.0/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,249  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.7/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.6/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.5/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
2019-01-13 22:32:45  | TEST  | Price: p:372.4/b:372.0/a:372.4/l:364 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  372/ 372 | deal (0) | bal:349,521  
