2019-08-28 22:07:06  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | My Order List is  [] 
2019-08-28 22:07:06  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-08-28 22:07:06  | Spawn Trader  dongwkim-trader1 
2019-08-28 22:07:06  | Current Trader is dongwkim-trader1
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 21:59:14  | TEST  | Price: p:320.2/b:319.9/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.3/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.4/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.6/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 00:41:10  | TEST  | Price: p:319.7/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,157  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.6/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.6/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.6/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:319.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:319.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:319.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
2019-08-29 01:02:33  | TEST  | Price: p:320.3/b:319.5/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,578  
